key,name,stFipsOrRecipientId,profileType,link
AK,Alaska,2,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/alaska-legal-services-corporation
AK-1,Alaska Legal Services Corporation,902000,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/alaska-legal-services-corporation
AL,Alabama,1,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-alabama-program-profile
AL-4,"Legal Services Alabama, Inc.",601037,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-alabama-program-profile
AR,Arkansas,5,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/arkansas-state-profile
AR-6,"Legal Aid of Arkansas, Inc.",604020,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-arkansas-inc-program-profile
AR-7,Center for Arkansas Legal Services,604061,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/center-arkansas-legal-services-program-profile
AS,American Samoa,60,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/american-samoa-legal-aid-program-profile
AS-1,American Samoa Legal Aid,955111,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/american-samoa-legal-aid-program-profile
AZ,Arizona,4,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/arizona-state-profile
AZ-2,"DNA-Peoples Legal Services, Inc.",703068,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/dna-peoples-legal-services-inc-program-profile
AZ-3,"Community Legal Services, Inc.",703030,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/community-legal-services-inc-program-profile
AZ-5,"Southern Arizona Legal Aid, Inc.",703050,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/southern-arizona-legal-aid-inc-program-profile
CA,California,6,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/california-state-profile
CA-1,"California Indian Legal Services, Inc.",705158,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/california-indian-legal-services-inc-program-profile
CA-12,"Inland Counties Legal Services, Inc.",805230,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/inland-counties-legal-services-inc-program-profile
CA-14,"Legal Aid Society of San Diego, Inc.",805250,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-society-san-diego-inc-program-profile
CA-19,Community Legal Aid SoCal,805310,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-society-orange-county-inc-program-profile
CA-2,"Greater Bakersfield Legal Assistance, Inc.",805010,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/greater-bakersfield-legal-assistance-inc-program-profile
CA-26,Central California Legal Services,805060,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/central-california-legal-services-program-profile
CA-27,"Legal Services of Northern California, Inc.",805240,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-northern-california-inc-program-profile
CA-28,Bay Area Legal Aid,805270,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/bay-area-legal-aid-program-profile
CA-29,Legal Aid Foundation of Los Angeles,805080,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-foundation-los-angeles-program-profile
CA-30,Neighborhood Legal Services of Los Angeles County,805180,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/neighborhood-legal-services-los-angeles-county-program-profile
CA-31,"California Rural Legal Assistance, Inc.",805260,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/california-rural-legal-assistance-inc-program-profile
CO,Colorado,8,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/colorado-legal-services-program-profile
CO-6,Colorado Legal Services,706060,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/colorado-legal-services-program-profile
CT,Connecticut,9,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/statewide-legal-services-connecticut-inc-program-profile
CT-1,"Statewide Legal Services of Connecticut, Inc.",107000,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/statewide-legal-services-connecticut-inc-program-profile
DC,District of Columbia,11,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/neighborhood-legal-services-program-district-columbia-program-profile
DC-1,Neighborhood Legal Services Program of the District of Columbia,309080,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/neighborhood-legal-services-program-district-columbia-program-profile
DE,Delaware,10,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-corporation-delaware-inc-program-profile
DE-1,"Legal Services Corporation of Delaware, Inc.",308010,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-corporation-delaware-inc-program-profile
FL,Florida,12,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/florida-state-profile
FL-13,"Legal Services of North Florida, Inc.",610044,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-north-florida-inc-program-profile
FL-14,"Three Rivers Legal Services, Inc.",610061,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/three-rivers-legal-services-inc-program-profile
FL-15,"Community Legal Services of Mid-Florida, Inc.",610010,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/community-legal-services-mid-florida-inc-program-profile
FL-16,"Bay Area Legal Services, Inc.",610050,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/bay-area-legal-services-inc-program-profile
FL-17,"Florida Rural Legal Services, Inc.",610020,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/florida-rural-legal-services-inc-program-profile
FL-18,"Coast to Coast Legal Aid of South Florida, Inc.",610090,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/coast-coast-legal-aid-south-florida-inc-program-profile
FL-5,"Legal Services of Greater Miami, Inc.",610040,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-greater-miami-inc-program-profile
GA,Georgia,13,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/georgia-state-profile
GA-1,"Atlanta Legal Aid Society, Inc.",611010,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/atlanta-legal-aid-society-inc-program-profile
GA-2,Georgia Legal Services Program,611020,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/georgia-legal-services-program-program-profile
GU,Guam,66,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/micronesian-legal-services-inc-program-profile
GU-1,Micronesian Legal Services Corporation,952000,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/micronesian-legal-services-inc-program-profile
HI,Hawaii,15,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-society-hawaii-program-profile
HI-1,Legal Aid Society of Hawaii,912000,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-society-hawaii-program-profile
IA,Iowa,19,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/iowa-legal-aid-program-profile
IA-3,Iowa Legal Aid,516006,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/iowa-legal-aid-program-profile
ID,Idaho,16,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/idaho-legal-aid-services-inc-program-profile
ID-1,"Idaho Legal Aid Services, Inc.",913000,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/idaho-legal-aid-services-inc-program-profile
IL,Illinois,17,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/illinois-state-profile
IL-3,"Land of Lincoln Legal Aid, Inc.",514050,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/land-lincoln-legal-assistance-foundation-inc-program-profile
IL-6,LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/laf-legal-assistance-foundation-metropolitan-chicago-program-profile
IL-7,"Prairie State Legal Services, Inc.",514076,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/prairie-state-legal-services-inc-program-profile
IN,Indiana,18,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/indiana-legal-services-inc-program-profile
IN-5,"Indiana Legal Services, Inc.",515030,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/indiana-legal-services-inc-program-profile
KS,Kansas,20,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/kansas-legal-services-inc-program-profile
KS-1,"Kansas Legal Services, Inc.",517001,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/kansas-legal-services-inc-program-profile
KY,Kentucky,21,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/kentucky-state-profile
KY-10,Legal Aid of the Bluegrass,618004,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-bluegrass-program-profile
KY-2,Legal Aid Society,618010,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-society-program-profile
KY-5,Appalachian Research and Defense Fund of Kentucky,618030,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/appalachian-research-and-defense-fund-kentucky-program-profile
KY-9,Kentucky Legal Aid,618036,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/kentucky-legal-aid-program-profile
LA,Louisiana,22,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/louisiana-state-profile
LA-13,Southeast Louisiana Legal Services Corporation,619081,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/southeast-louisiana-legal-services-corporation-program-profile
LA-15,Acadiana Legal Service Corporation,619051,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/acadiana-legal-service-corporation-program-profile
MA,Massachussetts,25,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/massachusetts-state-profile
MA-10,"Community Legal Aid, Inc.",122150,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/community-legal-aid-inc-program-profile
MA-11,Volunteer Lawyers Project of the Boston Bar Association,122007,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/volunteer-lawyers-project-boston-bar-association-program-profile
MA-12,South Coastal Counties Legal Services,122087,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/south-coastal-counties-legal-services-program-profile
MA-4,"Northeast Legal Aid, Inc.",122090,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/northeast-legal-aid-inc-program-profile
MD,Maryland,24,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/maryland-legal-aid-program-profile
MD-1,Maryland Legal Aid,321016,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/maryland-legal-aid-program-profile
ME,Maine,23,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/pine-tree-legal-assistance-inc-program-profile
ME-1,"Pine Tree Legal Assistance, Inc.",120000,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/pine-tree-legal-assistance-inc-program-profile
MI,Michigan,26,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/michigan-state-profile
MI-12,Michigan Advocacy Program,423010,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/michigan-advocacy-program-program-profile
MI-13,Lakeshore Legal Aid,423090,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/lakeshore-legal-aid-program-profile
MI-14,Legal Services of Eastern Michigan,423060,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-eastern-michigan-program-profile
MI-15,Legal Aid of Western Michigan,423141,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-western-michigan-program-profile
MI-9,"Legal Services of Northern Michigan, Inc.",423130,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-northern-michigan-inc-program-profile
MN,Minnesota,27,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/minnesota-state-profile
MN-1,Legal Aid Service of Northeastern Minnesota,524006,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-service-northeastern-minnesota-program-profile
MN-4,Legal Services of Northwest Minnesota Corporation,524027,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-northwest-minnesota-corporation-program-profile
MN-5,"Southern Minnesota Regional Legal Services, Inc.",524030,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/southern-minnesota-regional-legal-services-inc-program-profile
MN-6,"Central Minnesota Legal Services, Inc.",524020,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/central-minnesota-legal-services-inc-program-profile
MO,Missouri,29,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/missouri-state-profile
MO-3,Legal Aid of Western Missouri,526010,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-western-missouri-program-profile
MO-4,"Legal Services of Eastern Missouri, Inc.",526020,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-eastern-missouri-inc-program-profile
MO-5,Mid-Missouri Legal Services Corporation,526041,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/mid-missouri-legal-services-corporation-program-profile
MO-7,Legal Services of Southern Missouri,526051,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-southern-missouri-program-profile
MP,Micronesia,69,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/micronesian-legal-services-inc-program-profile
MP-1,Micronesian Legal Services Corporation,952000,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/micronesian-legal-services-inc-program-profile
MS,Mississippi,28,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/mississippi-state-profile
MS-10,Mississippi Center for Legal Services,625071,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/mississippi-center-legal-services-program-profile
MS-9,"North Mississippi Rural Legal Services, Inc.",625040,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/north-mississippi-rural-legal-services-inc-program-profile
MT,Montana,30,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/montana-legal-services-association-program-profile
MT-1,Montana Legal Services Association,927000,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/montana-legal-services-association-program-profile
NC,North Carolina,37,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-north-carolina-inc-program-profile
NC-5,"Legal Aid of North Carolina, Inc.",634032,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-north-carolina-inc-program-profile
ND,North Dakota,38,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-north-dakota-program-profile
ND-3,Legal Services of North Dakota,535007,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-north-dakota-program-profile
NE,Nebraska,31,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-nebraska-program-profile
NE-4,Legal Aid of Nebraska,528020,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-nebraska-program-profile
NH,New Hampshire,33,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-advice-referral-center-inc-program-profile
NH-1,"Legal Advice & Referral Center, Inc.",130010,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-advice-referral-center-inc-program-profile
NJ,New Jersey,34,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/new-jersey-state-profile
NJ-15,Legal Services of Northwest Jersey,331016,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-northwest-jersey-program-profile
NJ-17,"Central Jersey Legal Services, Inc.",331110,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/central-jersey-legal-services-inc-program-profile
NJ-18,Northeast New Jersey Legal Services Corporation,331050,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/northeast-new-jersey-legal-services-corporation-program-profile
NJ-20,"South Jersey Legal Services, Inc.",331020,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/south-jersey-legal-services-inc-program-profile
